roll_angle,jounce,lower_outer_x,lower_outer_y,lower_outer_z,lower_inner1_x,lower_inner1_y,lower_inner1_z,lower_inner2_x,lower_inner2_y,lower_inner2_z,upper_outer_x,upper_outer_y,upper_outer_z,upper_inner1_x,upper_inner1_y,upper_inner1_z,upper_inner2_x,upper_inner2_y,upper_inner2_z,rc_x,rc_y,rc_z,ic_y,ic_z,Steering_trail_x,Scrub_radius_y
0,0,-0.0175,0.519,0.137,-0.18,0.165,0.087,0.18,0.17,0.087,0.0015,0.5065,0.315,-0.135,0.24,0.22,0.18,0.255,0.255,0,0,0.010616961629378556,-0.328725831,0.017264713124846023,-0.027123596,0.003620787
-0.004592972,0,-0.0175,0.5190101295100817,0.13695839526742987,-0.18,0.16500612252354757,0.086986773,0.18,0.1700061225074825,0.086986372,0.0015,0.5065243984714717,0.31495939672649886,-0.135,0.2400167838922528,0.2199807603323366,0.18,0.2550195895308158,0.2549795577826991,0,0,0.010633173,-0.328725297,0.017291065,-0.027119072,0.003616961
-0.009185943,0,-0.0175,0.5190202530858816,0.1369167897231951,-0.18,0.165012241,0.086973545,0.18,0.17001224132339077,0.086972744,0.0015,0.5065487910888951,0.3149187914974946,-0.135,0.2400335636430413,0.21996151931950497,0.18,0.25503917482375893,0.25495911399532695,0,0,0.010649384654347342,-0.328724764,0.017317415994380678,-0.027114549,0.003613137
-0.013778915,0,-0.0175,0.519030371,0.1368751833678756,-0.18,0.16501835659227387,0.086960317,0.18,0.17001835644768837,0.086959115,0.0015,0.5065731778521161,0.3148781843135606,-0.135,0.2400503392522604,0.21994227696194124,0.18,0.2550587558787063,0.2549386686383273,0,0,0.010665596148834425,-0.328724231,0.017343767365271864,-0.027110026,0.003609313
-0.018371887,0,-0.0175,0.5190404824343864,0.1368335762020513,-0.18,0.16502446813737984,0.086947089,0.18,0.17002446788033893,0.086945486,0.0015,0.5065975587609811,0.31483757517527045,-0.135,0.24006711071980538,0.21992303326008164,0.18,0.2550783326955351,0.2549182217121442,0,0,0.010681807631403596,-0.328723698,0.017370118693769726,-0.027105503,0.003605491
-0.022964859,0,-0.0175,0.5190505882069673,0.13679196822630205,-0.18,0.1650305760229325,0.08693386,0.18,0.17003057562130608,0.086931856,0.0015,0.5066219338153363,0.3147969640831976,-0.135,0.24008387804557133,0.21990378821436235,0.18,0.2550979052741224,0.25489777321722146,0,0,0.010698019102115272,-0.328723166,0.01739647,-0.02710098,0.003601669
-0.02755783,0,-0.0175,0.5190606880450178,0.13675035944120773,-0.18,0.16503668024889553,0.08692063,0.18,0.1700366796705535,0.086918225,0.0015,0.5066463030150278,0.3147563510379154,-0.135,0.24010064122945338,0.21988454182521952,0.18,0.25511747361434534,0.2548773231540031,0,0,0.010714230561029757,-0.328722635,0.017422821224158752,-0.027096457,0.003597848
-0.032150802,0,-0.0175,0.519070782,0.1367087498473483,-0.18,0.16504278081523263,0.0869074,0.18,0.17004278002804485,0.086904595,0.0015,0.5066706663599021,0.3147157360399975,-0.135,0.2401174002713468,0.2198652940930894,0.18,0.25513703771608104,0.2548568715229329,0,0,0.010730442008207287,-0.328722104,0.017449172426336215,-0.027091934,0.003594028
-0.036743774,0,-0.0175,0.5190808699172799,0.1366671394453036,-0.18,0.1650488777219075,0.08689417,0.18,0.17004887669374386,0.086890963,0.0015,0.5066950238498056,0.3146751190900174,-0.135,0.2401341551711467,0.21984604501840815,0.18,0.25515659757920683,0.2548364183244551,0,0,0.010746653,-0.328721573,0.017475523586693312,-0.027087412,0.003590209
-0.041336745,0,-0.0175,0.5190909519513675,0.1366255282356536,-0.18,0.16505497096888383,0.086880939,0.18,0.17005496966761424,0.086877332,0.0015,0.5067193754845846,0.31463450018854855,-0.135,0.24015090592874838,0.21982679460161206,0.18,0.25517615320359976,0.2548159635590133,0,0,0.010762864867592748,-0.328721043,0.017501874705372983,-0.027082889,0.00358639
-0.045929717,0,-0.0175,0.5191010280506769,0.13658391621897822,-0.18,0.16506106055612543,0.086867707,0.18,0.17006105894961976,0.086863699,0.0015,0.5067437212640853,0.3145938793361646,-0.135,0.24016765254404707,0.21980754284313728,0.18,0.25519570458913715,0.25479550722705174,0,0,0.010779076,-0.328720513,0.017528225782518753,-0.027078366,0.003582572
-0.050522689,0,-0.0175,0.5191110982151464,0.13654230339585735,-0.18,0.16506714648359602,0.086854475,0.18,0.17006714453972419,0.086850067,0.0015,0.5067680611881547,0.3145532565334391,-0.135,0.24018439501693814,0.21978828974342013,0.18,0.25521525173569626,0.2547750493290143,0,0,0.010795287680754129,-0.328719984,0.017554577,-0.027073843,0.003578756
-0.055115661,0,-0.017544856,0.5191000563091336,0.1369904813954182,-0.18,0.1650732287512594,0.086841243,0.18,0.1700732264378913,0.086836433,0.0015,0.5067923952566387,0.31451263178094546,-0.135,0.2402011333473168,0.21976903530289676,0.18,0.25523479464315435,0.25475458986534494,0,0,0.010070804,-0.331935047,0.016438142123062466,-0.027241411,0.003597645
-0.059708632,0,-0.01754861,0.519109163,0.1369896963567678,-0.18,0.1650800792466732,0.08682801,0.18,0.17008007653167873,0.086822799,0.00155111,0.5067845033808651,0.314948241,-0.135,0.24021863942267221,0.21974977911980673,0.18,0.25525510519898253,0.2547341284342909,0,0,0.010506871892423898,-0.32734011,0.017057958758975783,-0.027251275,0.003596493
-0.064301604,0,-0.017552361,0.5191170830550679,0.13698885957960732,-0.18,0.16508574237593956,0.086814777,0.18,0.17008573922718861,0.086809165,0.001555056,0.5068059207708006,0.3149441643742037,-0.135,0.24023495764903804,0.2197305221991284,0.18,0.25527422780919645,0.2547136660408384,0,0,0.010498373,-0.327234777,0.017042054,-0.02726113,0.003594137
-0.068894576,0,-0.017556117,0.5191254703339633,0.13698803822445918,-0.18,0.1650918690962656,0.086801543,0.18,0.1700918654816281,0.08679553,0.001559007,0.5068278044566683,0.31494009310637583,-0.135,0.24025173898355306,0.21971126369104513,0.18,0.2552938134309169,0.25469320183517835,0,0,0.010489862205352678,-0.327129031,0.017026125934817227,-0.027270997,0.003592251
-0.073487547,0,-0.017559874,0.5191338607541265,0.1369872134501021,-0.18,0.16509799613240173,0.086788308,0.18,0.17009799201974757,0.086781895,0.001562959,0.5068496923462649,0.3149360107987017,-0.135,0.24026852015089906,0.21969200383690748,0.18,0.2553133987888076,0.2546727360586693,0,0,0.010481347,-0.327023385,0.017010195,-0.02728087,0.003590367
-0.078080519,0,-0.017563633,0.5191422543141636,0.1369863852506112,-0.18,0.16510412347917303,0.086775073,0.18,0.1701041188363721,0.086768259,0.001566914,0.5068715844325405,0.3149319174431746,-0.135,0.24028530114583269,0.2196727426366772,0.18,0.25533298387760717,0.25465226871128055,0,0,0.010472826,-0.326917839,0.016994261266153388,-0.027290749,0.003588486
-0.082673491,0,-0.017567394,0.5191506510151231,0.1369855536212798,-0.18,0.16511025113779806,0.086761838,0.18,0.17011024593272034,0.086754623,0.001570872,0.5068934807156743,0.3149278130316763,-0.135,0.2403020819695041,0.2196534800903122,0.18,0.2553525686984478,0.25463179979297784,0,0,0.010464299812676945,-0.326812393,0.016978324,-0.027300634,0.003586607
-0.087266463,0,-0.017571158,0.5191590508635501,0.1369847185565519,-0.18,0.16511637910949956,0.086748602,0.18,0.17011637331001492,0.086740987,0.001574831,0.506915381,0.31492369755553873,-0.135,0.24031886262306754,0.21963421619777024,0.18,0.25537215325246565,0.25461132930372676,0,0,0.010455768532220761,-0.326707047,0.016962384260282737,-0.027310525,0.00358473
