roll_angle,jounce,lower_outer_x,lower_outer_y,lower_outer_z,lower_inner1_x,lower_inner1_y,lower_inner1_z,lower_inner2_x,lower_inner2_y,lower_inner2_z,upper_outer_x,upper_outer_y,upper_outer_z,upper_inner1_x,upper_inner1_y,upper_inner1_z,upper_inner2_x,upper_inner2_y,upper_inner2_z,rc_x,rc_y,rc_z,ic_y,ic_z,Steering_trail_x,Scrub_radius_y,kingpin_inclination_deg,camber_angle_deg,Bump_Steer
0.0,0.0,-17.5,519.0,137.0,-180.0,165.0,87.0,180.0,170.0,87.0,1.5,506.5,315.0,-135.0,240.0,220.0,180.0,255.0,255.0,0.0,0.0,10.6169616293786,-328.7258310760896,17.264713124846097,-27.123595505617978,3.6207865168539684,6.092771657336066,-4.016985413901961,26.74090857836282
-0.0008814794201991563,0.0,-17.499088317589717,519.0459739547505,137.0020894501251,-180.0,165.06726596466845,86.85452623946588,180.0,170.06726402215367,86.85011884293564,1.4557281663156703,506.62711628389945,315.01258538812493,-135.0,240.18447357465075,219.78836362061884,180.0,255.215319522818,254.77512783342456,0.0,0.0,10.593093719343575,-326.71030055581485,17.185232448605774,-27.087270041116746,3.603890416501713,6.078035442474752,-3.990759589017791,26.740901661400816
-0.0017629588403983126,0.0,-17.498167837478913,519.0917897069454,137.00415857927743,-180.0,165.13444574921562,86.70899320480189,180.0,170.13443797915792,86.70017841516598,1.4115097758591901,506.75382726270084,315.02507809405427,-135.0,240.36880260266534,219.57656467672948,180.0,255.43048281994356,254.5500659174181,0.0,0.0,10.569510033854923,-324.700157677607,17.10650350922205,-27.050977010030913,3.587034242608752,6.063316813236612,-3.964615937645116,26.740880809819156
-0.0026444382605974688,0.0,-17.497238892530888,519.1374464124564,137.00620739230706,-180.0,165.20153854977988,86.56340095444533,180.0,170.2015210671558,86.5501787785529,1.367345205164519,506.88013161826314,315.03747834018895,-135.0,240.55298618915654,219.3646032782582,180.0,255.64548897253113,254.32481437221227,0.0,0.0,10.546212102445626,-322.6953775757107,17.02852428604986,-27.01471724056278,3.5702174297325655,6.048615971767488,-3.938554586898244,26.74084611047192
-0.003525917680796625,0.0,-17.496301104744514,519.1829431677141,137.00823618151676,-179.99999999999997,165.2685435571439,86.41774954821422,179.99999999999997,170.26851247693736,86.400119996339,1.3232345935762935,507.00602787040015,315.0497867424797,-134.99999999999997,240.73702343392674,219.15247953659227,179.99999999999997,255.86033705643365,254.0993733195209,0.0,0.0,10.523201460459124,-320.69593311116716,16.95129272079957,-26.978490142404837,3.5534394465895502,6.033932815017543,-3.9125756945132006,26.74091126731892
-0.004407397100995782,0.0,-17.49535443179454,519.2282791263349,137.01024498508949,-180.0,165.33545995671054,86.27203904731913,180.0,170.33541139391613,86.25000213315937,1.2791782420180198,507.1315146330348,315.0620035463542,-135.0,240.9209134314441,218.94019356459162,180.0,256.07502614217924,253.87374288255154,0.0,0.0,10.500479642551836,-318.7017996847465,16.874806803760052,-26.94229582627977,3.5366997796680835,6.01926740223254,-3.8866794090750174,26.74091342261596
-0.0052888765211949375,0.0,-17.494399188119772,519.2734535358679,137.01223390578565,-179.99999999999997,165.40228692851403,86.12626951437497,179.99999999999997,170.4022169981399,86.09982525505349,1.2351764729986014,507.2565906178808,315.07412902873693,-134.99999999999997,241.1046552708536,218.72774547660075,179.99999999999997,256.28955529498165,253.64792318601738,0.0,0.0,10.478048107538447,-316.71295329358315,16.799064413997,-26.906135060442814,3.5199980129787036,6.004619914271666,-3.86086587872327,26.740916495780656
-0.006170355941394094,0.0,-17.493435231406497,519.3184652955521,137.0142030892173,-179.99999999999997,165.4690236476886,85.9804410134117,179.99999999999997,170.4689284647595,85.94958942947584,1.1912293366174374,507.38125430923765,315.0861636867208,-134.99999999999997,241.28824803644608,218.5151353884592,179.99999999999997,256.50392357520985,253.42191435614777,0.0,0.0,10.455908477165162,-314.7293678500732,16.724063649196424,-26.870007585566476,3.503333283244956,5.989990294097992,-3.835135209121224,26.74092060454158
-0.00705183536159325,0.0,-17.492462889434773,519.3633136919342,137.01615289232976,-180.0,165.53566928312125,85.83455360988975,180.0,170.5355449626815,85.79929472531137,1.1473372376198836,507.5055043342064,315.0981079883156,-135.0,241.47169080631053,218.3023634175171,180.0,256.71813003704005,253.19571652070385,0.0,0.0,10.434062067734846,-312.7510192694902,16.649802156887603,-26.833914288676276,3.486705329513711,5.975378755301556,-3.809487589537958,26.740925833935858
-0.007933314781792407,0.0,-17.491480710605998,519.407997858417,137.01808351962384,-180.0,165.60222300045115,85.68860737070202,180.0,170.6020656575678,85.64894121287746,1.1035004371745516,507.6293390862032,315.10996262492137,-135.0,241.65498265533412,218.0894296826371,180.0,256.932173731456,252.96932980898012,0.0,0.0,10.412510697448841,-310.7778799735853,16.57627831603061,-26.797852751556846,3.470113770205103,5.960784887063298,-3.7839232271002294,26.740932180616042
-0.008814794201991563,0.0,-17.49049074569187,519.4525166081918,137.01999477462584,-179.99999999999997,165.66868395630172,85.5426023642065,179.99999999999997,170.66848970606745,85.49852896395664,1.0597193149035726,507.75275746912155,315.12172736331115,-134.99999999999997,241.83812264943404,217.87633430422682,179.99999999999997,257.1460537004803,252.7427543518373,0.0,0.0,10.391255625211056,-308.8099309923262,16.503489782439715,-26.761826844600066,3.4535572651182065,5.946209448440054,-3.7584420741041136,26.74093960429673
